country      prevalence  N17   N18   U19  M19  GDP
Argentina    52.7        NA    51.3  86   56   3.8
Australia    28.0        -0.1  48.6  51   61   19.7
Austria      36.0        1.2   48.3  70   79   23.5
Belgium      46.8        0.9   49.6  50   54   22.6
Brazil       66.9        NA    53.7  76   49   2.8
China        24.3        NA    53.1  40   66   1.0
Colombia     54.2        NA    NA    80   64   1.8
Croatia      37.4        NA    49.3  NA   NA   4.6
CzechRep     26.6        NA    51.4  74   57   5.6
Denmark      22.0        1.2   50.3  23   16   29.9
Egypt        24.3        -1.8  NA    NA   NA   1.4
Ethiopia     16.4        NA    48.8  NA   NA   0.1
Finland      15.7        0.0   NA    59   26   24.1
France       45.0        1.7   52.7  86   43   22.8
Germany      42.7        0.5   48.1  65   66   21.8
Greece       26.9        -0.4  NA    112  57   11.5
Hungary      58.9        2.3   53.8  82   88   5.6
Indonesia    46.2        NA    50    48   46   0.7
Ireland      25.0        -0.3  50.1  35   NA   24.4
Israel       16.7        -1.3  NA    81   47   16.4
Italy        32.6        0.5   52.6  75   70   18.7
Jamaica      52.1        NA    NA    13   68   2.7
Japan        12.3        -0.4  50.7  92   95   33.5
Netherlands  24.5        -0.3  48.6  53   14   22.9
NewZealand   26.6        -0.1  NA    49   58   13.8
Norway       8.6         0.1   47.4  50   8    42.2
Peru         32.9        NA    48.5  87   42   2.1
Poland       46.5        NA    50.7  93   64   4.7
SouthKorea   4.3         0.4   48.4  85   85   6.8
Slovenia     30.9        NA    50.6  NA   NA   10.4
Spain        22.7        0.2   49.7  86   42   15.1
Sweden       12.5        0.3   46.3  29   5    26.5
Switzerland  36.7        1.4   47.5  58   70   34.6
Thailand     11.2        NA    48.9  NA   NA   2.0
Turkey       46.8        -1.7  51.4  85   45   2.7
UK           6.6         -0.8  50.1  35   66   26.7
USA          12.3        -0.3  48.1  46   62   36.6
Venezuela    48.8        0.0   NA    76   73   4.0
Yugoslavia   66.8        NA    51.1  NA   NA   1.2
